Season,Week Start Date,WeekEnd,Deaths,Probable deaths,Confirmed and probable deaths,Cases,Probable cases,Confirmed and probable cases,Last updated
2023-2024,2022-12-04T00:00:00Z,2022-12-10,72,24,96,8213,1602,9815,2023-10-19T00:00:00Z
2023-2024,2023-06-04T00:00:00Z,2023-06-10,6,1,7,745,216,961,2023-10-19T00:00:00Z
2023-2024,2023-01-01T00:00:00Z,2023-01-07,127,37,164,9231,2044,11275,2023-10-19T00:00:00Z
2023-2024,2021-01-03T00:00:00Z,2021-01-09,416,17,433,42418,2825,45243,2023-10-19T00:00:00Z
2023-2024,2021-09-12T00:00:00Z,2021-09-18,81,5,86,11608,836,12444,2023-10-19T00:00:00Z
2023-2024,2023-10-01T00:00:00Z,2023-10-07,28,2,30,2628,900,3528,2023-10-19T00:00:00Z
2023-2024,2021-02-14T00:00:00Z,2021-02-20,185,15,200,10351,1063,11414,2023-10-19T00:00:00Z
2023-2024,2022-10-30T00:00:00Z,2022-11-05,82,21,103,5455,1046,6501,2023-10-19T00:00:00Z
2023-2024,2020-11-15T00:00:00Z,2020-11-21,119,6,125,18267,845,19112,2023-10-19T00:00:00Z
2023-2024,2020-12-13T00:00:00Z,2020-12-19,313,8,321,30949,1469,32418,2023-10-19T00:00:00Z
2023-2024,2020-12-27T00:00:00Z,2021-01-02,405,27,432,34040,2553,36593,2023-10-19T00:00:00Z
2023-2024,2023-02-19T00:00:00Z,2023-02-25,84,23,107,3093,746,3839,2023-10-19T00:00:00Z
2023-2024,2022-10-23T00:00:00Z,2022-10-29,77,34,111,5786,1010,6796,2023-10-19T00:00:00Z
2023-2024,2021-12-26T00:00:00Z,2022-01-01,269,17,286,105188,7152,112340,2023-10-19T00:00:00Z
2023-2024,2021-07-25T00:00:00Z,2021-07-31,16,1,17,5048,467,5515,2023-10-19T00:00:00Z
2023-2024,2021-09-26T00:00:00Z,2021-10-02,107,2,109,9478,688,10166,2023-10-19T00:00:00Z
2023-2024,2020-04-12T00:00:00Z,2020-04-18,1091,59,1150,15230,60,15290,2023-10-19T00:00:00Z
2023-2024,2020-04-19T00:00:00Z,2020-04-25,1210,60,1270,14824,56,14880,2023-10-19T00:00:00Z
2023-2024,2021-08-15T00:00:00Z,2021-08-21,40,1,41,9208,743,9951,2023-10-19T00:00:00Z
2023-2024,2022-11-13T00:00:00Z,2022-11-19,64,20,84,4326,909,5235,2023-10-19T00:00:00Z
2023-2024,2022-06-26T00:00:00Z,2022-07-02,55,16,71,9859,1112,10971,2023-10-19T00:00:00Z
